A_X,A_Y,A_Z,B_X,B_Y,B_Z,C_X,C_Y,C_Z,Predict Time
1650.0,880.0,1220.0,950.0,2478.5,482.0,1333.65,1508.12,522.21,1.8383643627166748
1650.0,880.0,1220.0,950.0,2478.5,482.0,1357.1,1286.65,544.58,1.8391625881195068
1650.0,880.0,1220.0,950.0,2478.5,482.0,1522.35,1682.53,658.75,1.8432624340057373
1650.0,880.0,1220.0,950.0,2478.5,482.0,1457.97,2033.16,622.89,1.8483073711395264
1650.0,880.0,1220.0,950.0,2478.5,482.0,1329.2,1607.76,549.38,1.8496835231781006
1670.0,-880.0,1205.0,990.0,-2285.0,467.0,1451.69,-1731.58,556.18,1.869809865951538
1670.0,-880.0,1205.0,990.0,-2285.0,467.0,1480.49,-1363.86,581.84,1.8745439052581787
1670.0,-880.0,1205.0,990.0,-2285.0,467.0,1474.25,-1921.81,593.6,1.8765523433685303
1670.0,-880.0,1205.0,990.0,-2285.0,467.0,1475.72,-1496.44,596.28,1.8800694942474365
1670.0,-880.0,1205.0,990.0,-2285.0,467.0,1358.43,-1693.0,532.7,1.8841149806976318
1670.0,-880.0,1205.0,990.0,-2285.0,467.0,1567.62,-1933.5,676.7,1.8843133449554443
1670.0,-880.0,1205.0,990.0,-2285.0,467.0,1375.83,-1305.35,542.59,1.8860280513763428
1670.0,-880.0,1205.0,990.0,-2285.0,467.0,1454.28,-1578.93,603.0,1.8873765468597412
1670.0,-880.0,1205.0,990.0,-2285.0,467.0,1415.64,-1693.97,583.53,1.8887574672698975
1670.0,-880.0,1205.0,990.0,-2285.0,467.0,1403.18,-1857.66,578.14,1.8888261318206787
1650.0,880.0,1220.0,187.5,2072.5,482.0,1229.57,1548.51,543.92,2.023483991622925
1650.0,880.0,1220.0,187.5,2072.5,482.0,1256.86,1305.89,566.87,2.0235812664031982
1650.0,880.0,1220.0,187.5,2072.5,482.0,1418.2,1487.56,698.7,2.033485174179077
1650.0,880.0,1220.0,187.5,2072.5,482.0,1249.35,1670.63,583.52,2.03399920463562
1650.0,880.0,1220.0,187.5,2072.5,482.0,1325.38,1370.01,665.74,2.0433528423309326
1650.0,880.0,1220.0,187.5,2072.5,482.0,1220.11,1247.49,624.09,2.0528981685638428
1650.0,880.0,1220.0,187.5,2072.5,482.0,1212.34,1411.08,621.27,2.0547406673431396
1650.0,880.0,1220.0,187.5,2072.5,482.0,1145.25,1427.16,582.45,2.0572736263275146
1650.0,880.0,1220.0,187.5,2072.5,482.0,1092.52,1534.99,555.49,2.0611283779144287
1650.0,880.0,1220.0,187.5,2072.5,482.0,1276.77,1337.4,690.36,2.0640389919281006
1670.0,-880.0,1205.0,210.0,-2045.0,467.0,1232.99,-1412.01,484.84,2.0659358501434326
1670.0,-880.0,1205.0,210.0,-2045.0,467.0,1163.58,-1182.08,476.85,2.0814483165740967
1670.0,-880.0,1205.0,210.0,-2045.0,467.0,1224.18,-1553.67,559.23,2.0941312313079834
1670.0,-880.0,1205.0,210.0,-2045.0,467.0,1272.14,-1323.28,623.29,2.107670545578003
1670.0,-880.0,1205.0,210.0,-2045.0,467.0,1387.72,-1206.49,699.52,2.107703924179077
1670.0,-880.0,1205.0,210.0,-2045.0,467.0,1462.2,-1365.93,757.93,2.1099860668182373
1670.0,-880.0,1205.0,210.0,-2045.0,467.0,1409.21,-1297.88,728.35,2.1123244762420654
1670.0,-880.0,1205.0,210.0,-2045.0,467.0,1136.1,-1584.05,556.15,2.114431142807007
1670.0,-880.0,1205.0,210.0,-2045.0,467.0,1417.65,-1267.55,747.6,2.117619276046753
1670.0,-880.0,1205.0,210.0,-2045.0,467.0,1043.0,-1351.4,498.99,2.117694616317749
1650.0,880.0,1220.0,425.0,2072.5,482.0,1323.74,1468.32,493.56,1.9323756694793701
1650.0,880.0,1220.0,425.0,2072.5,482.0,1472.21,1563.69,636.79,1.9487826824188232
1650.0,880.0,1220.0,425.0,2072.5,482.0,1236.43,1327.47,550.41,1.9729487895965576
1650.0,880.0,1220.0,425.0,2072.5,482.0,1189.29,1524.79,527.73,1.977658987045288
1650.0,880.0,1220.0,425.0,2072.5,482.0,1194.39,1225.59,546.58,1.981168508529663
1650.0,880.0,1220.0,425.0,2072.5,482.0,1240.37,1559.59,574.14,1.982370138168335
1650.0,880.0,1220.0,425.0,2072.5,482.0,1287.86,1634.06,609.38,1.9842298030853271
1650.0,880.0,1220.0,425.0,2072.5,482.0,1299.03,1277.92,624.71,1.9846618175506592
1650.0,880.0,1220.0,425.0,2072.5,482.0,1114.97,1482.45,498.65,1.9849793910980225
1650.0,880.0,1220.0,425.0,2072.5,482.0,1398.34,1516.98,692.43,1.9869391918182373
1670.0,-880.0,1205.0,600.0,-2045.0,467.0,1325.22,-1243.5,508.01,1.9718396663665771
1670.0,-880.0,1205.0,600.0,-2045.0,467.0,1469.47,-1480.01,612.28,1.9731881618499756
1670.0,-880.0,1205.0,600.0,-2045.0,467.0,1287.54,-1218.45,534.17,1.9906251430511475
1670.0,-880.0,1205.0,600.0,-2045.0,467.0,1389.73,-1453.61,615.69,1.9940507411956787
1670.0,-880.0,1205.0,600.0,-2045.0,467.0,1234.01,-1350.02,515.26,1.9959847927093506
1670.0,-880.0,1205.0,600.0,-2045.0,467.0,1526.83,-1424.67,712.89,1.996164083480835
1670.0,-880.0,1205.0,600.0,-2045.0,467.0,1244.77,-1408.92,529.73,1.9981248378753662
1670.0,-880.0,1205.0,600.0,-2045.0,467.0,1191.57,-1448.17,500.12,2.000091314315796
1670.0,-880.0,1205.0,600.0,-2045.0,467.0,1439.68,-1454.39,693.07,2.0097768306732178
1670.0,-880.0,1205.0,600.0,-2045.0,467.0,1347.8,-1440.16,638.01,2.0123250484466553
1650.0,880.0,1220.0,662.5,2072.5,482.0,1325.4,1675.96,569.53,1.9114978313446045
1650.0,880.0,1220.0,662.5,2072.5,482.0,1402.75,1549.17,644.09,1.9185512065887451
1650.0,880.0,1220.0,662.5,2072.5,482.0,1183.7,1734.56,506.88,1.9231250286102295
1650.0,880.0,1220.0,662.5,2072.5,482.0,1301.75,1473.46,592.86,1.9239203929901123
1650.0,880.0,1220.0,662.5,2072.5,482.0,1325.83,1520.93,611.31,1.9252307415008545
1650.0,880.0,1220.0,662.5,2072.5,482.0,1190.53,1417.84,521.55,1.9252870082855225
1650.0,880.0,1220.0,662.5,2072.5,482.0,1384.3,1288.73,672.35,1.9318978786468506
1650.0,880.0,1220.0,662.5,2072.5,482.0,1337.82,1477.94,645.86,1.9345548152923584
1650.0,880.0,1220.0,662.5,2072.5,482.0,1323.42,1538.51,635.88,1.9349992275238037
1650.0,880.0,1220.0,662.5,2072.5,482.0,1229.09,1386.07,578.54,1.9357926845550537
1670.0,-880.0,1205.0,990.0,-2045.0,467.0,1519.75,-1327.44,545.65,1.8563153743743896
1670.0,-880.0,1205.0,990.0,-2045.0,467.0,1542.29,-1511.48,598.17,1.868884801864624
1670.0,-880.0,1205.0,990.0,-2045.0,467.0,1499.55,-1250.34,576.17,1.8728578090667725
1670.0,-880.0,1205.0,990.0,-2045.0,467.0,1474.71,-1437.18,578.59,1.8785645961761475
1670.0,-880.0,1205.0,990.0,-2045.0,467.0,1498.48,-1326.54,615.47,1.8869454860687256
1670.0,-880.0,1205.0,990.0,-2045.0,467.0,1548.74,-1335.69,653.26,1.8883416652679443
1670.0,-880.0,1205.0,990.0,-2045.0,467.0,1567.16,-1475.85,669.51,1.8889501094818115
1670.0,-880.0,1205.0,990.0,-2045.0,467.0,1412.64,-1645.53,572.81,1.889981985092163
1670.0,-880.0,1205.0,990.0,-2045.0,467.0,1346.97,-1291.64,524.94,1.890989065170288
1670.0,-880.0,1205.0,990.0,-2045.0,467.0,1323.37,-1448.49,516.42,1.8926599025726318
1650.0,880.0,1220.0,950.0,2241.5,482.0,1602.03,1921.52,626.64,1.8092639446258545
1650.0,880.0,1220.0,950.0,2241.5,482.0,1561.04,1373.71,677.11,1.834399938583374
1650.0,880.0,1220.0,950.0,2241.5,482.0,1491.77,1659.86,639.99,1.839552640914917
1650.0,880.0,1220.0,950.0,2241.5,482.0,1449.73,1348.04,624.04,1.841463327407837
1650.0,880.0,1220.0,950.0,2241.5,482.0,1532.96,1494.45,677.94,1.8418872356414795
1650.0,880.0,1220.0,950.0,2241.5,482.0,1488.42,1901.63,646.16,1.8437612056732178
1650.0,880.0,1220.0,950.0,2241.5,482.0,1476.51,1615.97,660.87,1.850334882736206
1650.0,880.0,1220.0,950.0,2241.5,482.0,1424.16,1666.74,632.91,1.8530070781707764
1650.0,880.0,1220.0,950.0,2241.5,482.0,1382.59,1595.76,610.4,1.8546350002288818
1650.0,880.0,1220.0,950.0,2241.5,482.0,1447.49,1687.6,654.22,1.8557078838348389
1670.0,-880.0,1205.0,210.0,-2675.0,672.0,1325.53,-1926.35,734.82,2.056495428085327
1670.0,-880.0,1205.0,210.0,-2675.0,672.0,1396.43,-1719.94,814.66,2.0693395137786865
1670.0,-880.0,1205.0,210.0,-2675.0,672.0,1437.83,-2011.28,853.05,2.0715043544769287
1670.0,-880.0,1205.0,210.0,-2675.0,672.0,1319.66,-1851.86,779.67,2.074430227279663
1670.0,-880.0,1205.0,210.0,-2675.0,672.0,1359.0,-2105.88,810.03,2.0745656490325928
1670.0,-880.0,1205.0,210.0,-2675.0,672.0,1457.92,-1670.92,926.79,2.095712423324585
1670.0,-880.0,1205.0,210.0,-2675.0,672.0,1302.26,-1836.37,832.69,2.098092794418335
1670.0,-880.0,1205.0,210.0,-2675.0,672.0,1148.14,-1212.06,725.08,2.100543737411499
1670.0,-880.0,1205.0,210.0,-2675.0,672.0,1337.13,-2076.6,867.2,2.1006295680999756
1670.0,-880.0,1205.0,210.0,-2675.0,672.0,1188.74,-1798.97,766.24,2.1017205715179443
1650.0,880.0,1220.0,950.0,2010.0,482.0,1501.83,1226.86,605.73,1.8174827098846436
1650.0,880.0,1220.0,950.0,2010.0,482.0,1500.97,1310.8,615.78,1.8218786716461182
1650.0,880.0,1220.0,950.0,2010.0,482.0,1475.37,1775.12,616.36,1.8312556743621826
1650.0,880.0,1220.0,950.0,2010.0,482.0,1483.8,1531.83,629.33,1.8322174549102783
1650.0,880.0,1220.0,950.0,2010.0,482.0,1314.96,1366.59,526.26,1.8350932598114014
1650.0,880.0,1220.0,950.0,2010.0,482.0,1331.44,1587.74,535.64,1.8356740474700928
1650.0,880.0,1220.0,950.0,2010.0,482.0,1502.86,1693.15,659.26,1.8396484851837158
1650.0,880.0,1220.0,950.0,2010.0,482.0,1242.17,1165.63,498.04,1.8408915996551514
1650.0,880.0,1220.0,950.0,2010.0,482.0,1420.93,1341.1,615.98,1.8414475917816162
1650.0,880.0,1220.0,950.0,2010.0,482.0,1427.13,1489.01,638.03,1.8489806652069092
1670.0,-880.0,1205.0,600.0,-2675.0,672.0,1459.52,-1710.27,784.31,1.9619081020355225
1670.0,-880.0,1205.0,600.0,-2675.0,672.0,1347.04,-1710.64,738.02,1.9724595546722412
1670.0,-880.0,1205.0,600.0,-2675.0,672.0,1467.15,-1745.14,826.89,1.9750726222991943
1670.0,-880.0,1205.0,600.0,-2675.0,672.0,1354.32,-2080.77,758.99,1.9757020473480225
1670.0,-880.0,1205.0,600.0,-2675.0,672.0,1384.18,-1841.16,784.89,1.97959303855896
1670.0,-880.0,1205.0,600.0,-2675.0,672.0,1363.1,-2062.05,799.14,1.9881703853607178
1670.0,-880.0,1205.0,600.0,-2675.0,672.0,1322.8,-1661.83,767.48,1.9895665645599365
1670.0,-880.0,1205.0,600.0,-2675.0,672.0,1310.97,-1651.0,763.69,1.990924596786499
1670.0,-880.0,1205.0,600.0,-2675.0,672.0,1444.18,-1570.72,863.45,1.995206594467163
1670.0,-880.0,1205.0,600.0,-2675.0,672.0,1402.96,-1793.01,840.68,1.9958512783050537
1650.0,880.0,1220.0,250.0,2710.0,702.0,1333.39,1737.64,801.09,2.0232198238372803
1650.0,880.0,1220.0,250.0,2710.0,702.0,1305.52,1691.63,817.13,2.035367727279663
1650.0,880.0,1220.0,250.0,2710.0,702.0,1133.0,1189.73,722.7,2.0396573543548584
1650.0,880.0,1220.0,250.0,2710.0,702.0,1430.25,1711.25,930.66,2.045949697494507
1650.0,880.0,1220.0,250.0,2710.0,702.0,1116.8,1894.27,718.98,2.0474164485931396
1650.0,880.0,1220.0,250.0,2710.0,702.0,1174.53,1758.06,766.46,2.049424886703491
1650.0,880.0,1220.0,250.0,2710.0,702.0,1179.88,1388.94,778.48,2.049855947494507
1650.0,880.0,1220.0,250.0,2710.0,702.0,1188.63,2015.92,773.21,2.0503156185150146
1650.0,880.0,1220.0,250.0,2710.0,702.0,1199.8,1348.83,797.62,2.0518128871917725
1650.0,880.0,1220.0,250.0,2710.0,702.0,1523.49,1799.18,1010.95,2.053609609603882
